File: relay
Build ID: 7d42472bb03eb20c8f001da5147dfa4229d7cb6e
Type: cpu
Time: 2025-08-21 15:54:06 EDT
Duration: 30.12s, Total samples = 72.72s (241.47%)
Showing nodes accounting for 64.11s, 88.16% of 72.72s total
Dropped 1009 nodes (cum <= 0.36s)
      flat  flat%   sum%        cum   cum%
    26.35s 36.23% 36.23%     26.35s 36.23%  runtime.memclrNoHeapPointers
     3.99s  5.49% 41.72%      3.99s  5.49%  runtime.memmove
     3.60s  4.95% 46.67%      3.60s  4.95%  runtime.(*sweepLocker).tryAcquire
     2.85s  3.92% 50.59%      6.95s  9.56%  compress/flate.(*decompressor).huffSym
     2.64s  3.63% 54.22%      2.64s  3.63%  internal/runtime/atomic.(*Uint8).Load (inline)
     2.58s  3.55% 57.77%      2.60s  3.58%  bytes.(*Reader).ReadByte (inline)
     2.45s  3.37% 61.14%      2.45s  3.37%  aeshashbody
     2.44s  3.36% 64.49%      2.44s  3.36%  internal/runtime/syscall.Syscall6
     2.25s  3.09% 67.59%      2.25s  3.09%  runtime.memequal
     2.16s  2.97% 70.56%      9.43s 12.97%  runtime.mapassign_faststr
     1.52s  2.09% 72.65%      2.71s  3.73%  runtime.mapaccess2_faststr
     1.10s  1.51% 74.16%      1.11s  1.53%  github.com/bluesky-social/indigo/repo/carutil.(*BasicBlock).RawData (inline)
     0.97s  1.33% 75.50%         9s 12.38%  compress/flate.(*decompressor).huffmanBlock
     0.85s  1.17% 76.66%      0.87s  1.20%  runtime.(*mspan).writeHeapBitsSmall
     0.82s  1.13% 77.79%     29.02s 39.91%  runtime.mallocgcSmallNoscan
     0.59s  0.81% 78.60%      0.59s  0.81%  runtime.(*gcBits).bytep (inline)
     0.58s   0.8% 79.40%      4.63s  6.37%  bufio.(*Reader).ReadByte
     0.52s  0.72% 80.12%      0.52s  0.72%  runtime.(*mspan).heapBitsSmallForAddr
     0.40s  0.55% 80.67%      1.73s  2.38%  runtime.findObject
     0.39s  0.54% 81.20%      0.39s  0.54%  runtime.(*mspan).init
     0.37s  0.51% 81.71%      1.88s  2.59%  runtime.wbBufFlush1
