File: relay
Build ID: cd1eda1d6d67ae8bed889fe4ef3879ffbb1f17c4
Type: cpu
Time: 2025-08-21 23:13:06 EDT
Duration: 30.18s, Total samples = 89.65s (297.05%)
Showing nodes accounting for 80.40s, 89.68% of 89.65s total
Dropped 1016 nodes (cum <= 0.45s)
      flat  flat%   sum%        cum   cum%
    26.17s 29.19% 29.19%     26.17s 29.19%  runtime.memclrNoHeapPointers
     7.93s  8.85% 38.04%      7.94s  8.86%  runtime.(*mspan).heapBitsSmallForAddr
     6.67s  7.44% 45.48%      6.67s  7.44%  runtime.memmove
     5.97s  6.66% 52.14%      5.97s  6.66%  aeshashbody
     4.84s  5.40% 57.53%     19.66s 21.93%  runtime.scanobject
     3.34s  3.73% 61.26%      3.34s  3.73%  internal/runtime/atomic.(*Uint8).Load (inline)
     3.10s  3.46% 64.72%      3.22s  3.59%  bytes.(*Reader).ReadByte (inline)
     2.99s  3.34% 68.05%      2.99s  3.34%  runtime.memequal
     2.43s  2.71% 70.76%     14.35s 16.01%  runtime.mapassign_faststr
     2.30s  2.57% 73.33%      2.30s  2.57%  internal/runtime/syscall.Syscall6
     2.10s  2.34% 75.67%      2.86s  3.19%  runtime.greyobject
     1.97s  2.20% 77.87%      6.55s  7.31%  compress/flate.(*decompressor).huffSym
     1.43s  1.60% 79.46%      1.48s  1.65%  github.com/bluesky-social/indigo/repo/carutil.(*BasicBlock).RawData (inline)
     1.18s  1.32% 80.78%      4.94s  5.51%  runtime.findObject
     0.79s  0.88% 81.66%      8.49s  9.47%  compress/flate.(*decompressor).huffmanBlock
     0.67s  0.75% 82.41%      0.68s  0.76%  runtime.(*gcBits).bytep (inline)
     0.62s  0.69% 83.10%      0.73s  0.81%  net/http.http2getDataBufferChunk
     0.60s  0.67% 83.77%      0.60s  0.67%  runtime.spanOf (inline)
     0.59s  0.66% 84.43%      0.59s  0.66%  runtime.(*sweepLocker).tryAcquire
     0.57s  0.64% 85.06%      2.21s  2.47%  runtime.wbBufFlush1
     0.45s   0.5% 85.57%      5.03s  5.61%  bufio.(*Reader).ReadByte
     0.42s  0.47% 86.03%      8.37s  9.34%  runtime.(*mspan).typePointersOfUnchecked
     0.39s  0.44% 86.47%     19.85s 22.14%  runtime.mallocgcSmallNoscan
     0.29s  0.32% 86.79%      1.77s  1.97%  runtime.mapaccess2_faststr
